id sitio replica taxon abundance class
225 P 2 Entomobriidae 2 mesofauna
226 P 2 "Eukerria halophila" 2 macrofauna
227 P 2 Formicidae 3 macrofauna
228 P 2 "Glossoscolex sp." 1 macrofauna
229 P 2 Isotomidae 34 mesofauna
230 P 2 Juv_lom 20 macrofauna
231 P 2 Linyphiidae 2 macrofauna
232 P 2 "Microscolex phosphoreus" 3 macrofauna
233 P 2 Oniscidea 54 macrofauna
234 P 2 Ptiliidae 1 macrofauna
235 P 2 Staphylinidae 9 macrofauna
236 P 2 Symphyla 1 mesofauna
237 P 2 Tenebrionidae 1 macrofauna
238 P 2 Terebrantia 1 macrofauna
239 P 2 bdelloidea 5 mesofauna
240 P 2 camisiidae 2 mesofauna
241 P 2 dermanisoidea 17 mesofauna
242 P 2 diptera 1 macrofauna
243 P 2 embrioptera 4 macrofauna
244 P 2 eupodoidea 2 mesofauna
245 P 2 euptiracarioidea 1 mesofauna
246 P 2 galumnidae 5 mesofauna
247 P 2 hipogastruridae 7 mesofauna
248 P 2 larva_Carabidae 1 macrofauna
249 P 2 larva_Scarabidae 5 macrofauna
250 P 2 larva_Sciaridae 1 macrofauna
251 P 2 larva_Staphylinidae 1 macrofauna
252 P 2 larva_diptero 5 macrofauna
253 P 2 microgyniidae 3 mesofauna
254 P 2 nem_bacterivoro 188 microfauna
255 P 2 nem_fitofago 80 microfauna
256 P 2 nem_fungivoro 131 microfauna
257 P 2 nem_omnivor 74 microfauna
258 P 2 nem_predador 46 microfauna
259 P 2 onychiurudae 9 mesofauna
260 P 2 oppioidea 19 mesofauna
261 P 2 oribatulidae 47 mesofauna
262 P 2 oripodoidea 139 mesofauna
263 P 2 parasitidae 8 mesofauna
264 P 2 rhagidiidae 4 mesofauna
265 P 2 rhodacarioidea 10 mesofauna
266 P 2 tarditigrado 10 mesofauna
267 P 2 veigaioidea 2 mesofauna
268 P 3 Aphidoidea 3 mesofauna
269 P 3 Astigmata 22 mesofauna
270 P 3 Blattodea 1 macrofauna
271 P 3 Carabidae 2 macrofauna
272 P 3 Enchytraeidae 2 mesofauna
273 P 3 Entomobriidae 1 mesofauna
274 P 3 Formicidae 21 macrofauna
275 P 3 Isotomidae 2 mesofauna
276 P 3 Juv_lom 2 macrofauna
277 P 3 Linyphiidae 4 macrofauna
278 P 3 Lycosidae 1 macrofauna
279 P 3 "Octolasion tyrtaeum" 1 macrofauna
280 P 3 Oniscidea 8 macrofauna
281 P 3 Ptiliidae 1 macrofauna
282 P 3 Staphylinidae 1 macrofauna
283 P 3 Trogossitidae 1 macrofauna
284 P 3 bdelloidea 7 mesofauna
285 P 3 camisiidae 5 mesofauna
286 P 3 ceratozetoidea 2 mesofauna
287 P 3 dermanisoidea 5 mesofauna
288 P 3 embrioptera 6 macrofauna
289 P 3 euptiracarioidea 1 mesofauna
290 P 3 eviphidiidae 2 mesofauna
291 P 3 galumnidae 1 mesofauna
292 P 3 hipogastruridae 4 mesofauna
293 P 3 isoptera 1 mesofauna
294 P 3 larva_Scarabidae 2 macrofauna
295 P 3 larva_Sciaridae 4 macrofauna
296 P 3 larva_diptero 5 macrofauna
297 P 3 nanhermaniidae 1 mesofauna
298 P 3 nem_bacterivoro 224 microfauna
299 P 3 nem_fitofago 151 microfauna
300 P 3 nem_fungivoro 194 microfauna
301 P 3 nem_omnivor 61 microfauna
302 P 3 nem_predador 6 microfauna
303 P 3 onychiurudae 5 mesofauna
304 P 3 oppioidea 9 mesofauna
305 P 3 oribatulidae 36 mesofauna
306 P 3 oripodoidea 94 mesofauna
307 P 3 parasitidae 13 mesofauna
308 P 3 rhagidiidae 1 mesofauna
309 P 3 rhodacarioidea 13 mesofauna
310 P 3 tarditigrado 457 mesofauna
311 P 3 uropodoidea 1 mesofauna
312 R 1 Aphidoidea 2 mesofauna
313 R 1 "Aporrectodea caliginosa" 1 macrofauna
314 R 1 "Aporrectodea rosea" 1 macrofauna
315 R 1 "Aporrectodea trapezoides" 2 macrofauna
316 R 1 Arctacaridae 3 mesofauna
317 R 1 Astigmata 6 mesofauna
318 R 1 "Bimastos beddardi sophiae" 4 macrofauna
319 R 1 "Bimastos parvus" 1 macrofauna
320 R 1 Cicadidae 6 macrofauna
321 R 1 Diplopoda 2 macrofauna
322 R 1 Elateriforme 1 macrofauna
323 R 1 Enchytraeidae 61 mesofauna
324 R 1 Entomobriidae 15 mesofauna
325 R 1 Formicidae 48 macrofauna
326 R 1 Gastropoda 11 macrofauna
327 R 1 Isotomidae 13 mesofauna
328 R 1 Japygidae 1 mesofauna
329 R 1 Juv_lom 41 macrofauna
330 R 1 Laelapidae 1 mesofauna
331 R 1 Linyphiidae 1 macrofauna
332 R 1 Lycosidae 7 macrofauna
333 R 1 Nematomorpha 5 macrofauna
334 R 1 Oniscidea 15 macrofauna
335 R 1 OribatidoM4 1 mesofauna
336 R 1 Parajapygidae 1 mesofauna
337 R 1 Staphylinidae 1 macrofauna
338 R 1 Symphyla 2 mesofauna
339 R 1 Thysanoptera 2 macrofauna
340 R 1 Trogossitidae 1 macrofauna
341 R 1 bdelloidea 3 mesofauna
342 R 1 ceratozetoidea 21 mesofauna
343 R 1 chamobatidae 8 mesofauna
344 R 1 eupodoidea 3 mesofauna
345 R 1 euptiracarioidea 5 mesofauna
346 R 1 galumnidae 9 mesofauna
347 R 1 hipogastruridae 3 mesofauna
348 R 1 hydrozetidae 10 mesofauna
349 R 1 insecta_egg 6 mesofauna
350 R 1 larva_Carabidae 2 macrofauna
351 R 1 larva_Sciaridae 5 macrofauna
352 R 1 larva_diptero 4 macrofauna
353 R 1 microgyniidae 4 mesofauna
354 R 1 mochlozetidae 1 mesofauna
355 R 1 nem_bacterivoro 143 microfauna
356 R 1 nem_fitofago 143 microfauna
357 R 1 nem_fungivoro 143 microfauna
358 R 1 nem_omnivor 4 microfauna
359 R 1 nem_predador 18 microfauna
360 R 1 ologamasidae 4 mesofauna
361 R 1 onychiurudae 33 mesofauna
362 R 1 oppioidea 7 mesofauna
363 R 1 oribatulidae 10 mesofauna
364 R 1 oripodoidea 28 mesofauna
365 R 1 otocepheidae 1 mesofauna
366 R 1 parasitidae 6 mesofauna
367 R 1 rhodacarioidea 2 mesofauna
368 R 1 scheloribatidae 1 mesofauna
369 R 1 sminthuridae 1 mesofauna
370 R 1 suctobelbidae 2 mesofauna
371 R 1 symphipleona 2 mesofauna
372 R 1 tarditigrado 43 mesofauna
373 R 1 uropodoidea 6 mesofauna
374 R 1 veigaioidea 2 mesofauna
375 R 2 Aphidoidea 1 mesofauna
376 R 2 Astigmata 11 mesofauna
377 R 2 Carabidae 1 macrofauna
378 R 2 Diplopoda 3 macrofauna
379 R 2 Enchytraeidae 32 mesofauna
380 R 2 Entomobriidae 4 mesofauna
381 R 2 Formicidae 15 macrofauna
382 R 2 Gastropoda 1 macrofauna
383 R 2 Geophilomorpha 10 macrofauna
384 R 2 Isotomidae 7 mesofauna
385 R 2 Juv_lom 21 macrofauna
386 R 2 Lycosidae 5 macrofauna
387 R 2 Mesostigmata 1 mesofauna
388 R 2 Oniscidea 88 macrofauna
389 R 2 Parajapygidae 1 mesofauna
390 R 2 Sciaridae 1 macrofauna
391 R 2 Staphylinidae 1 macrofauna
392 R 2 ceratozetoidea 5 mesofauna
393 R 2 euptiracarioidea 5 mesofauna
394 R 2 hipogastruridae 2 mesofauna
395 R 2 larva_Elateridae 3 macrofauna
396 R 2 larva_Sciaridae 5 macrofauna
397 R 2 microgyniidae 1 mesofauna
398 R 2 nanhermaniidae 1 mesofauna
399 R 2 nem_bacterivoro 404 microfauna
400 R 2 nem_fitofago 189 microfauna
401 R 2 nem_fungivoro 215 microfauna
402 R 2 nem_omnivor 139 microfauna
403 R 2 nem_predador 51 microfauna
404 R 2 onychiurudae 38 mesofauna
405 R 2 oppioidea 4 mesofauna
406 R 2 oribatulidae 4 mesofauna
407 R 2 oripodoidea 6 mesofauna
408 R 2 parasitidae 3 mesofauna
409 R 2 psocoptera 1 macrofauna
410 R 2 raphignathidae 2 mesofauna
411 R 2 sejiidae 1 mesofauna
412 R 2 tarditigrado 64 mesofauna
413 R 2 tectocepheidae 1 mesofauna
414 R 2 teratoppiidae 1 mesofauna
415 R 2 uropodoidea 2 mesofauna
416 R 3 "Aporrectodea caliginosa" 1 macrofauna
417 R 3 Astigmata 14 mesofauna
418 R 3 Blattodea 1 macrofauna
419 R 3 Carabidae 5 macrofauna
420 R 3 Cryptophagidae 1 macrofauna
421 R 3 Diplopoda 4 macrofauna
422 R 3 Enchytraeidae 236 mesofauna
423 R 3 Entomobriidae 8 mesofauna
424 R 3 Formicidae 1 macrofauna
425 R 3 Gastropoda 63 macrofauna
426 R 3 Geophilomorpha 3 macrofauna
427 R 3 Hemiptera 1 macrofauna
428 R 3 Isotomidae 28 mesofauna
429 R 3 Juv_lom 21 macrofauna
430 R 3 Linyphiidae 1 macrofauna
431 R 3 Lycosidae 6 macrofauna
432 R 3 Nematomorpha 1 macrofauna
433 R 3 Oniscidea 35 macrofauna
434 R 3 Pseudoscorpionida 1 macrofauna
435 R 3 Ptiliidae 1 macrofauna
436 R 3 Staphylinidae 6 macrofauna
437 R 3 bdelloidea 3 mesofauna
438 R 3 camisiidae 13 mesofauna
439 R 3 ceratozetoidea 73 mesofauna
440 R 3 chamobatidae 1 mesofauna
441 R 3 epilohmania 10 mesofauna
442 R 3 eupodoidea 2 mesofauna
443 R 3 euptiracarioidea 79 mesofauna
444 R 3 galumnidae 7 mesofauna
445 R 3 hipogastruridae 29 mesofauna
446 R 3 larva_Carabidae 3 macrofauna
447 R 3 larva_Curculionidae 2 macrofauna
448 R 3 larva_Elateridae 1 macrofauna
449 R 3 larva_Scarabidae 1 macrofauna
450 R 3 larva_Sciaridae 47 macrofauna
451 R 3 larva_Staphylinidae 1 macrofauna
452 R 3 larva_diptero 10 macrofauna
453 R 3 microgyniidae 2 mesofauna
454 R 3 nanhermaniidae 5 mesofauna
455 R 3 nem_bacterivoro 241 microfauna
456 R 3 nem_fitofago 315 microfauna
457 R 3 nem_fungivoro 556 microfauna
458 R 3 nem_omnivor 52 microfauna
459 R 3 nem_predador 42 microfauna
460 R 3 onychiurudae 61 mesofauna
461 R 3 oppioidea 35 mesofauna
462 R 3 oribatida_juv 31 mesofauna
463 R 3 oribatulidae 25 mesofauna
464 R 3 oripodoidea 65 mesofauna
465 R 3 pupa_diptera 1 macrofauna
466 R 3 raphignathidae 6 mesofauna
467 R 3 rhodacarioidea 9 mesofauna
468 R 3 tarditigrado 5 mesofauna
469 R 3 tectocepheidae 1 mesofauna
470 R 3 uropodoidea 4 mesofauna
471 R 3 veigaioidea 7 mesofauna
