"sitio" "replica" "estrato" "microhabitat" "taxa" "body_mass" "gremio" "clase_tam" "Sistema" "Taxón" "Gremio"
"86" "P" 1 "10" "10" "juvenil" 29850 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"87" "R" 3 "10" "10" "juvenil" 29850 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"88" "R" 1 "10" "10" "juvenil" 29700 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"89" "A" 2 "10" "10" "juvenil" 29400 "detritivoro" "macro" "Agrícola" "Juvenil, lombriz" "Detritivoro"
"90" "R" 1 "H" "H" "oniscoidea" 29200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"91" "A" 1 "10" "10" "diplopoda" 29200 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"92" "P" 3 "10" "10" "juvenil" 28950 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"93" "R" 2 "10" "10" "geophylomorpha" 28800 "predador" "macro" "Reserva" "Geophilomorpha" "Predador"
"94" "R" 1 "20" "20" "Aporrectodea_rosea" 28650 "detritivoro" "macro" "Reserva" "Aporrectodea rosea" "Detritivoro"
"95" "R" 1 "10" "10" "juvenil" 28050 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"96" "P" 2 "10" "10" "juvenil" 27900 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"97" "R" 2 "10" "10" "juvenil" 27450 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"98" "R" 1 "H" "H" "oniscoidea" 26800 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"99" "A" 1 "10" "10" "diplopoda" 25600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"100" "R" 2 "10" "10" "juvenil" 25500 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"101" "R" 1 "20" "20" "juvenil" 25350 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"102" "R" 3 "H" "H" "oniscoidea" 24800 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"103" "P" 1 "10" "10" "juvenil" 24750 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"104" "P" 2 "10" "10" "juvenil" 24450 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"105" "R" 1 "H" "H" "oniscoidea" 24400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"106" "A" 1 "10" "10" "diplopoda" 24400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"107" "R" 2 "H" "H" "oniscoidea" 24000 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"108" "A" 1 "10" "10" "diplopoda" 24000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"109" "P" 1 "H" "H" "oniscoidea" 23600 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"110" "P" 1 "10" "10" "oniscoidea" 23600 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"111" "R" 3 "10" "10" "oniscoidea" 23600 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"112" "A" 2 "H" "H" "diplopoda" 23600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"113" "P" 1 "10" "10" "diplopoda" 23600 "detritivoro" "macro" "Pastizal" "Diplopoda" "Detritivoro"
"114" "P" 2 "10" "10" "juvenil" 23250 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"115" "P" 2 "10" "10" "juvenil" 23250 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"116" "P" 2 "20" "20" "anthribidae" 23200 "detritivoro" "macro" "Pastizal" "Anthribidae" "Detritivoro"
"117" "R" 1 "20" "20" "cicadidae" 23200 "herbivoro" "macro" "Reserva" "Cicadidae" "Herbivoro"
"118" "R" 2 "10" "10" "juvenil" 22950 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"119" "P" 1 "H" "H" "Aporrectodea_rosea" 22500 "detritivoro" "macro" "Pastizal" "Aporrectodea rosea" "Detritivoro"
"120" "R" 2 "10" "10" "diptera" 22400 "detritivoro" "macro" "Reserva" "Diptera" "Detritivoro"
"121" "R" 1 "20" "20" "nematomorpha" 22400 "predador" "macro" "Reserva" "Nematomorpha" "Predador"
"122" "A" 1 "10" "10" "diplopoda" 22000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"123" "P" 2 "H" "H" "oniscoidea" 21600 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"124" "A" 3 "20" "20" "oniscoidea" 21600 "detritivoro" "macro" "Agrícola" "Oniscoidea" "Detritivoro"
"125" "A" 1 "10" "10" "tenebrionidae" 21600 "detritivoro" "macro" "Agrícola" "Tenebrionidae" "Detritivoro"
"126" "A" 2 "10" "10" "juvenil" 21450 "detritivoro" "macro" "Agrícola" "Juvenil, lombriz" "Detritivoro"
"127" "A" 2 "H" "H" "diplopoda" 21200 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"128" "R" 2 "10" "10" "juvenil" 20850 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"129" "A" 2 "10" "10" "diplopoda" 20400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"130" "A" 2 "10" "10" "diplopoda" 20400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"131" "R" 1 "10" "10" "juvenil" 20400 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"132" "A" 1 "10" "10" "diplopoda" 20000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"133" "R" 2 "10" "10" "diplopoda" 19600 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"134" "A" 2 "H" "H" "diplopoda" 19600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"135" "A" 1 "10" "10" "diplopoda" 19600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"136" "R" 2 "H" "H" "larva_sciaridae" 19391.3587915594 "microfitofago" "macro" "Reserva" "Sciaridae larva" "Microfitofago"
"137" "P" 2 "20" "20" "anthribidae" 19200 "detritivoro" "macro" "Pastizal" "Anthribidae" "Detritivoro"
"138" "P" 2 "H" "H" "juvenil" 19200 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"139" "P" 2 "H" "H" "larva_staphylinidae" 19200 "predador" "macro" "Pastizal" "Staphylinidae larva" "Predador"
"140" "P" 1 "10" "10" "juvenil" 19050 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"141" "R" 2 "H" "H" "larva_sciaridae" 18937.1999372878 "microfitofago" "macro" "Reserva" "Sciaridae larva" "Microfitofago"
"142" "A" 2 "10" "10" "diplopoda" 18800 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"143" "A" 2 "10" "10" "diplopoda" 18800 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"144" "R" 3 "20" "20" "oniscoidea" 18400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"145" "P" 1 "10" "10" "juvenil" 18300 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"146" "P" 1 "10" "10" "diplopoda" 18000 "detritivoro" "macro" "Pastizal" "Diplopoda" "Detritivoro"
"147" "R" 2 "10" "10" "juvenil" 18000 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"148" "P" 1 "10" "10" "juvenil" 17850 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"149" "R" 3 "10" "10" "juvenil" 17550 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"150" "P" 2 "H" "H" "oniscoidea" 17200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"151" "R" 2 "H" "H" "oniscoidea" 17200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"152" "R" 2 "H" "H" "oniscoidea" 17200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"153" "P" 1 "10" "10" "oniscoidea" 16800 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"154" "A" 2 "H" "H" "diplopoda" 16800 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"155" "P" 1 "20" "20" "diplopoda" 16800 "detritivoro" "macro" "Pastizal" "Diplopoda" "Detritivoro"
"156" "A" 1 "10" "10" "ortoptero" 16800 "herbivoro" "macro" "Agrícola" "Ortoptera" "Herbivoro"
"157" "P" 2 "10" "10" "oniscoidea" 16400 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"158" "P" 2 "10" "10" "oniscoidea" 16400 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"159" "A" 1 "H" "H" "lycosidae" 16400 "predador" "macro" "Agrícola" "Lycosidae" "Predador"
"160" "A" 2 "20" "20" "diplopoda" 16400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"161" "R" 2 "10" "10" "oniscoidea" 16000 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"162" "A" 2 "H" "H" "diplopoda" 16000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"163" "A" 1 "H" "H" "diplopoda" 15600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"164" "P" 2 "H" "H" "tenebrionidae" 15600 "detritivoro" "macro" "Pastizal" "Tenebrionidae" "Detritivoro"
"165" "P" 1 "10" "10" "juvenil" 15600 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"166" "R" 1 "10" "10" "juvenil" 15450 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"167" "R" 3 "H" "H" "carabidae" 15200 "predador" "macro" "Reserva" "Carabidae" "Predador"
"168" "P" 1 "H" "H" "oniscoidea" 15200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"169" "R" 2 "H" "H" "oniscoidea" 15200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"170" "R" 1 "H" "H" "diplopoda" 15200 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"171" "A" 2 "10" "10" "diplopoda" 15200 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"172" "R" 2 "10" "10" "oniscoidea" 14800 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"173" "P" 3 "10" "10" "linyphiidae" 14800 "predador" "macro" "Pastizal" "Linyphiidae" "Predador"
"174" "R" 3 "H" "H" "diplopoda" 14800 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"175" "R" 3 "H" "H" "gasteropoda" 14400 "microfitofago" "macro" "Reserva" "Gasteropoda" "Microfitofago"
"176" "P" 2 "10" "10" "oniscoidea" 14400 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"177" "P" 2 "10" "10" "oniscoidea" 14400 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"178" "P" 1 "H" "H" "oniscoidea" 14400 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"179" "R" 2 "10" "10" "oniscoidea" 14400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"180" "A" 1 "10" "10" "diplopoda" 14400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"181" "A" 2 "10" "10" "diplopoda" 14400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"182" "R" 2 "10" "10" "juvenil" 14100 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"183" "P" 1 "20" "20" "hemiptera" 14000 "herbivoro" "macro" "Pastizal" "Hemiptera" "Herbivoro"
"184" "R" 2 "10" "10" "diplopoda" 14000 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"185" "A" 1 "10" "10" "diplopoda" 14000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"186" "R" 1 "10" "10" "juvenil" 13950 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"187" "P" 2 "10" "10" "juvenil" 13800 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"188" "P" 2 "10" "10" "coleoptera" 13600 "detritivoro" "macro" "Pastizal" "Coleoptera" "Detritivoro"
"189" "A" 2 "H" "H" "diplopoda" 13600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"190" "A" 2 "H" "H" "diplopoda" 13600 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"191" "P" 1 "10" "10" "tenebrionidae" 13600 "detritivoro" "macro" "Pastizal" "Tenebrionidae" "Detritivoro"
"192" "R" 1 "10" "10" "juvenil" 13500 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"193" "R" 3 "10" "10" "oniscoidea" 13200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"194" "A" 2 "10" "10" "oniscoidea" 13200 "detritivoro" "macro" "Agrícola" "Oniscoidea" "Detritivoro"
"195" "A" 1 "10" "10" "diplopoda" 13200 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"196" "P" 1 "H" "H" "oniscoidea" 12800 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"197" "R" 2 "10" "10" "oniscoidea" 12800 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"198" "R" 3 "10" "10" "juvenil" 12750 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"199" "R" 2 "H" "Frag" "larva_sciaridae" 12726.427140492 "microfitofago" "macro" "Reserva" "Sciaridae larva" "Microfitofago"
"200" "R" 1 "10" "10" "juvenil" 12600 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"201" "P" 3 "20" "20" "oniscoidea" 12400 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"202" "R" 2 "10" "10" "oniscoidea" 12400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"203" "R" 2 "10" "10" "oniscoidea" 12400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"204" "R" 2 "H" "H" "oniscoidea" 12400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"205" "R" 2 "H" "H" "oniscoidea" 12400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"206" "R" 1 "10" "10" "oniscoidea" 12400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"207" "A" 1 "10" "10" "diplopoda" 12400 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"208" "P" 2 "10" "10" "juvenil" 12300 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"209" "R" 3 "20" "20" "geophylomorpha" 12000 "predador" "macro" "Reserva" "Geophilomorpha" "Predador"
"210" "R" 2 "10" "10" "oniscoidea" 12000 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"211" "A" 3 "10" "10" "oniscoidea" 12000 "detritivoro" "macro" "Agrícola" "Oniscoidea" "Detritivoro"
"212" "R" 3 "20" "20" "juvenil" 12000 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"213" "R" 1 "10" "10" "diplopoda" 12000 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"214" "A" 1 "H" "H" "diplopoda" 12000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"215" "A" 1 "10" "10" "diplopoda" 12000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"216" "A" 2 "10" "10" "diplopoda" 12000 "detritivoro" "macro" "Agrícola" "Diplopoda" "Detritivoro"
"217" "P" 2 "10" "10" "juvenil" 11850 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"218" "R" 3 "H" "H" "gasteropoda" 11600 "microfitofago" "macro" "Reserva" "Gasteropoda" "Microfitofago"
