"sitio" "replica" "estrato" "microhabitat" "clase" "gremio" "taxa" "abundance" "bio.ind" "ab" "D" "Sistema" "Taxón" "Tbiomass" "Gremio" "Sitio"
"22" "A" 1 "10" "10" "meso" "microfitofago" "entomobryoidea" 2 128.066307297539 2 5894 "Agrícola" "Entomobryoidea" 754822.815211692 "Microfitófagos" "A"
"23" "A" 1 "10" "10" "meso" "microfitofago" "onichiuridae" 10 6.74151668751198 12 35367 "Agrícola" "Onychiuridae" 238427.220687236 "Microfitófagos" "A"
"24" "A" 1 "10" "10" "meso" "microfitofago" "symphyla" 1 3.62151382265188 1 2947 "Agrícola" "Symphyla" 10672.6012353551 "Microfitófagos" "A"
"25" "A" 1 "10" "10" "meso" "omnivoro" "hipogastruridae" 10 8.96177736319605 12 35367 "Agrícola" "Hipogastruridae" 316951.180004155 "Omnívoros" "A"
"26" "A" 1 "10" "10" "meso" "predador" "mesostigmata" 1 90.3092464735585 1 2947 "Agrícola" "Mesostigmata" 266141.349357577 "Predadores" "A"
"27" "A" 1 "10" "10" "micro" "herbivoro" "fitofago" 8 0.290272846584728 17 34632 "Agrícola" "Fitofago" 10052.7292229223 "Herbivoros" "A"
"28" "A" 1 "10" "10" "micro" "microfitofago" "bacterivoro" 24 1.58880897642677 53 107970 "Agrícola" "Bacterivoro" 171543.705184799 "Microfitófagos" "A"
"29" "A" 1 "10" "10" "micro" "microfitofago" "fungivoro" 20 3.30806388938677 44 89636 "Agrícola" "Fungivoro" 296521.614789072 "Microfitófagos" "A"
"30" "A" 1 "10" "10" "micro" "omnivoro" "omnivoro" 7 12.589212427066 15 30557 "Agrícola" "Omnivoro" 384688.564133857 "Omnívoros" "A"
"31" "A" 1 "10" "10" "micro" "predador" "predador" 4 1.93618686269575 8 16297 "Agrícola" "Predador" 31554.0373013526 "Predadores" "A"
"32" "A" 1 "20" "20" "macro" "detritivoro" "diplopoda" 1 6400 1 16 "Agrícola" "Diplopoda" 102400 "Detritívoros" "A"
"33" "A" 1 "20" "20" "macro" "microfitofago" "larva_elateridae" 2 1800 2 32 "Agrícola" "Elateridae larva" 57600 "Microfitófagos" "A"
"34" "A" 1 "H" "Frag" "macro" "detritivoro" "larva_diptera" 9 656.838527747062 10 160 "Agrícola" "Diptera larva" 105094.16443953 "Detritívoros" "A"
"35" "A" 1 "H" "Frag" "macro" "herbivoro" "afido" 2 368.053468361292 2 32 "Agrícola" "Aphidoidea" 11777.7109875613 "Herbivoros" "A"
"36" "A" 1 "H" "Frag" "macro" "herbivoro" "cicadidae" 1 143.420565017962 1 16 "Agrícola" "Cicadidae" 2294.72904028739 "Herbivoros" "A"
"37" "A" 1 "H" "Frag" "macro" "herbivoro" "trip" 1 232.893334926979 1 16 "Agrícola" "Thysanoptera" 3726.29335883166 "Herbivoros" "A"
"38" "A" 1 "H" "Frag" "macro" "microfitofago" "larva_sciaridae" 3 460.072058643738 3 48 "Agrícola" "Sciaridae larva" 22083.4588148994 "Microfitófagos" "A"
"39" "A" 1 "H" "Frag" "meso" "detritivoro" "enquitreido" 56 1663.03515518275 67 197470 "Agrícola" "Enchytraeida" 328399552.093938 "Detritívoros" "A"
"40" "A" 1 "H" "Frag" "meso" "detritivoro" "isotomidae" 1 16.6536594348571 1 2947 "Agrícola" "Isotomidae" 49078.3343545239 "Detritívoros" "A"
"41" "A" 1 "H" "Frag" "meso" "detritivoro" "oripodidae" 2 14.8524041532756 2 5894 "Agrícola" "Oripodidae" 87540.0700794061 "Detritívoros" "A"
"42" "A" 1 "H" "Frag" "meso" "detritivoro" "scheloribates" 2 17.2633571309092 2 5894 "Agrícola" "Scheloribates" 101750.226929579 "Detritívoros" "A"
"43" "A" 1 "H" "Frag" "meso" "microfitofago" "entomobryoidea" 2 31.3569743021627 2 5894 "Agrícola" "Entomobryoidea" 184818.006536947 "Microfitófagos" "A"
"44" "A" 1 "H" "Frag" "meso" "microfitofago" "onichiuridae" 3 16.539295557655 3 8841 "Agrícola" "Onychiuridae" 146223.912025228 "Microfitófagos" "A"
"45" "A" 1 "H" "Frag" "meso" "microfitofago" "oribatulidae" 3 36.1296349812397 3 8841 "Agrícola" "Oribatulidae" 319422.10286914 "Microfitófagos" "A"
"46" "A" 1 "H" "Frag" "meso" "omnivoro" "astigmata" 5 33.4374642332452 6 17683 "Agrícola" "Astigmata" 591274.680036474 "Omnívoros" "A"
"47" "A" 1 "H" "Frag" "meso" "omnivoro" "eupodoidea" 1 3.40980388003639 1 2947 "Agrícola" "Eupodoidea" 10048.6920344672 "Omnívoros" "A"
"48" "A" 1 "H" "Frag" "meso" "omnivoro" "hipogastruridae" 7 9.14467442437912 8 23578 "Agrícola" "Hipogastruridae" 215613.133578011 "Omnívoros" "A"
"49" "A" 1 "H" "Frag" "meso" "omnivoro" "penthalidae" 1 6.34208538576798 1 2947 "Agrícola" "Penthaleidae" 18690.1256318582 "Omnívoros" "A"
"50" "A" 1 "H" "Frag" "meso" "predador" "amerosidae" 3 67.2811196022078 3 8841 "Agrícola" "Amerosidae" 594832.37840312 "Predadores" "A"
"51" "A" 1 "H" "Frag" "meso" "predador" "ologamasidae" 2 117.327692161625 2 5894 "Agrícola" "Ologamasidae" 691529.417600621 "Predadores" "A"
"52" "A" 1 "H" "Frag" "meso" "predador" "parasitidae" 7 142.038147334261 8 23578 "Agrícola" "Parasitidae" 3348975.43784721 "Predadores" "A"
"53" "A" 1 "H" "H" "macro" "detritivoro" "diplopoda" 5 10560 6 96 "Agrícola" "Diplopoda" 1013760 "Detritívoros" "A"
"54" "A" 1 "H" "H" "macro" "detritivoro" "oniscoidea" 2 3800 2 32 "Agrícola" "Oniscoidea" 121600 "Detritívoros" "A"
"55" "A" 1 "H" "H" "macro" "herbivoro" "afido" 1 807.2086147867 1 16 "Agrícola" "Aphidoidea" 12915.3378365872 "Herbivoros" "A"
"56" "A" 1 "H" "H" "macro" "predador" "carabidae" 1 285.55905328639 1 16 "Agrícola" "Carabidae" 4568.94485258224 "Predadores" "A"
"57" "A" 1 "H" "H" "macro" "predador" "larva_carabidae" 1 7276.056963 1 16 "Agrícola" "Carabidae, larva" 116416.911408 "Predadores" "A"
"58" "A" 1 "H" "H" "macro" "predador" "lycosidae" 5 20880 6 96 "Agrícola" "Lycosidae" 2004480 "Predadores" "A"
"59" "A" 1 "H" "H" "macro" "predador" "staphylinidae" 3 924.636128828414 3 48 "Agrícola" "Staphylinidae" 44382.5341837639 "Predadores" "A"
"60" "A" 1 "H" "H" "meso" "detritivoro" "enquitreido" 2 1148.05489505948 2 5894 "Agrícola" "Enchytraeida" 6766635.55148055 "Detritívoros" "A"
"61" "A" 1 "H" "H" "meso" "detritivoro" "oribatido" 1 10.9127275216957 1 2947 "Agrícola" "Oribatida" 32159.8080064372 "Detritívoros" "A"
"62" "A" 1 "H" "H" "meso" "microfitofago" "entomobryoidea" 1 91.7301770331402 1 2947 "Agrícola" "Entomobryoidea" 270328.831716664 "Microfitófagos" "A"
"63" "A" 1 "H" "H" "meso" "predador" "cunaxide" 1 159.47734737133 1 2947 "Agrícola" "Cunaxide" 469979.74270331 "Predadores" "A"
"64" "A" 1 "H" "H" "meso" "predador" "mesostigmata" 4 118.039930008742 4 11789 "Agrícola" "Mesostigmata" 1391572.73487306 "Predadores" "A"
"65" "A" 1 "H" "Hoja" "macro" "detritivoro" "pupa_diptera" 15 6890.71952853333 18 288 "Agrícola" "Diptera pupa" 1984527.2242176 "Detritívoros" "A"
"66" "A" 1 "H" "Hoja" "macro" "herbivoro" "afido" 1 208.167390813731 1 16 "Agrícola" "Aphidoidea" 3330.6782530197 "Herbivoros" "A"
"67" "A" 1 "H" "Hoja" "macro" "herbivoro" "trip" 1 100.371887003788 1 16 "Agrícola" "Thysanoptera" 1605.95019206061 "Herbivoros" "A"
"68" "A" 1 "H" "Hoja" "macro" "microfitofago" "larva_sciaridae" 2 333.032276074269 2 32 "Agrícola" "Sciaridae larva" 10657.0328343766 "Microfitófagos" "A"
"69" "A" 1 "H" "Hoja" "meso" "detritivoro" "enquitreido" 12 3154.18684739216 14 41262 "Agrícola" "Enchytraeida" 130148057.697095 "Detritívoros" "A"
"70" "A" 1 "H" "Hoja" "meso" "detritivoro" "oripodidae" 2 26.3686134536375 2 5894 "Agrícola" "Oripodidae" 155416.607695739 "Detritívoros" "A"
"71" "A" 1 "H" "Hoja" "meso" "detritivoro" "scheloribates" 1 34.9642481224616 1 2947 "Agrícola" "Scheloribates" 103039.639216894 "Detritívoros" "A"
"72" "A" 1 "H" "Hoja" "meso" "omnivoro" "hipogastruridae" 2 19.0504279420001 2 5894 "Agrícola" "Hipogastruridae" 112283.222290149 "Omnívoros" "A"
"73" "A" 1 "H" "Hoja" "meso" "predador" "amerosidae" 1 78.0095484094564 1 2947 "Agrícola" "Amerosidae" 229894.139162668 "Predadores" "A"
"74" "A" 1 "H" "Hoja" "meso" "predador" "parholaspidae" 1 93.0475453217564 1 2947 "Agrícola" "Parholaspidae" 274211.116063216 "Predadores" "A"
"75" "A" 1 "H" "humus" "macro" "detritivoro" "larva_diptera" 6 50.5918059790195 7 112 "Agrícola" "Diptera larva" 5666.28226965019 "Detritívoros" "A"
"76" "A" 1 "H" "humus" "macro" "detritivoro" "pupa_diptera" 11 1333.87055218182 13 208 "Agrícola" "Diptera pupa" 277445.074853818 "Detritívoros" "A"
"77" "A" 1 "H" "humus" "macro" "microfitofago" "larva_sciaridae" 10 158.173742866206 12 192 "Agrícola" "Sciaridae larva" 30369.3586303115 "Microfitófagos" "A"
"78" "A" 1 "H" "humus" "meso" "detritivoro" "ceratozetoidea" 20 23.3124443026105 24 70735 "Agrícola" "Ceratozetoidea" 1649005.74774515 "Detritívoros" "A"
"79" "A" 1 "H" "humus" "meso" "detritivoro" "enquitreido" 10 1388.18366931858 12 35367 "Agrícola" "Enchytraeida" 49095891.8327902 "Detritívoros" "A"
"80" "A" 1 "H" "humus" "meso" "detritivoro" "isotomidae" 27 9.59068361308165 32 94314 "Agrícola" "Isotomidae" 904535.734284183 "Detritívoros" "A"
"81" "A" 1 "H" "humus" "meso" "detritivoro" "oripodidae" 13 22.2861588121695 15 44209 "Agrícola" "Oripodidae" 985248.794927202 "Detritívoros" "A"
"82" "A" 1 "H" "humus" "meso" "detritivoro" "scheloribates" 20 16.8108544601879 24 70735 "Agrícola" "Scheloribates" 1189115.79024139 "Detritívoros" "A"
"83" "A" 1 "H" "humus" "meso" "microfitofago" "galumnidae" 1 94.7973562000797 1 2947 "Agrícola" "Galumnidae" 279367.808721635 "Microfitófagos" "A"
"84" "A" 1 "H" "humus" "meso" "microfitofago" "lohmanidae" 1 3.37934314380671 1 2947 "Agrícola" "Lohmanidae" 9958.92424479837 "Microfitófagos" "A"
"85" "A" 1 "H" "humus" "meso" "microfitofago" "onichiuridae" 5 7.3465662496095 6 17683 "Agrícola" "Onychiuridae" 129909.330991845 "Microfitófagos" "A"
"86" "A" 1 "H" "humus" "meso" "microfitofago" "oppioidea" 1 7.05362139053265 1 2947 "Agrícola" "Oppioidea" 20787.0222378997 "Microfitófagos" "A"
"87" "A" 1 "H" "humus" "meso" "microfitofago" "oribatulidae" 59 33.2946525016009 70 206311 "Agrícola" "Oribatulidae" 6869053.05225779 "Microfitófagos" "A"
"88" "A" 1 "H" "humus" "meso" "omnivoro" "astigmata" 29 24.091103658711 34 100208 "Agrícola" "Astigmata" 2414121.31543211 "Omnívoros" "A"
"89" "A" 1 "H" "humus" "meso" "omnivoro" "eupodoidea" 5 4.45914540664683 6 17683 "Agrícola" "Eupodoidea" 78851.0682257358 "Omnívoros" "A"
"90" "A" 1 "H" "humus" "meso" "omnivoro" "hipogastruridae" 23 9.1502959721292 27 79577 "Agrícola" "Hipogastruridae" 728153.102574126 "Omnívoros" "A"
"91" "A" 1 "H" "humus" "meso" "predador" "bdelloidea" 3 5.81752115431948 3 8841 "Agrícola" "Bdelloidea" 51432.7045253385 "Predadores" "A"
"92" "A" 1 "H" "humus" "meso" "predador" "mesostigmata" 3 2.74554367492616 3 8841 "Agrícola" "Mesostigmata" 24273.3516300222 "Predadores" "A"
"93" "A" 1 "H" "humus" "meso" "predador" "parasitidae" 22 12.6156991156841 26 76630 "Agrícola" "Parasitidae" 966741.023234874 "Predadores" "A"
"94" "A" 1 "H" "humus" "meso" "predador" "rhagidiidae" 2 2.59800245653866 2 5894 "Agrícola" "Rhagidiidae" 15312.6264788389 "Predadores" "A"
"95" "A" 1 "H" "humus" "meso" "predador" "rhodacaroidea" 3 14.0632566975172 3 8841 "Agrícola" "Rhodacaroidea" 124333.252462749 "Predadores" "A"
"96" "A" 2 "10" "10" "macro" "detritivoro" "Aporrectodea_caliginosa" 2 81450 2 32 "Agrícola" "Aporrectodea caliginosa" 2606400 "Detritívoros" "A"
"97" "A" 2 "10" "10" "macro" "detritivoro" "diplopoda" 13 14061.5384615385 15 240 "Agrícola" "Diplopoda" 3374769.23076923 "Detritívoros" "A"
"98" "A" 2 "10" "10" "macro" "detritivoro" "juvenil" 5 33240 6 96 "Agrícola" "Juvenil, lombriz" 3191040 "Detritívoros" "A"
"99" "A" 2 "10" "10" "macro" "detritivoro" "larva_diptera" 1 3600 1 16 "Agrícola" "Diptera larva" 57600 "Detritívoros" "A"
"100" "A" 2 "10" "10" "macro" "detritivoro" "larva_tenebrionidae" 2 3000 2 32 "Agrícola" "Tenebrionidae larva" 96000 "Detritívoros" "A"
"101" "A" 2 "10" "10" "macro" "detritivoro" "oniscoidea" 1 13200 1 16 "Agrícola" "Oniscoidea" 211200 "Detritívoros" "A"
"102" "A" 2 "10" "10" "macro" "detritivoro" "pupa_diptera" 1 6580.29657 1 16 "Agrícola" "Diptera pupa" 105284.74512 "Detritívoros" "A"
"103" "A" 2 "10" "10" "macro" "predador" "formicidae" 2 325.497298647867 2 32 "Agrícola" "Formicidae" 10415.9135567317 "Predadores" "A"
"104" "A" 2 "10" "10" "macro" "predador" "grillopalpidae" 1 195600 1 16 "Agrícola" "Grillopalpidae" 3129600 "Predadores" "A"
"105" "A" 2 "10" "10" "macro" "predador" "lycosidae" 1 2800 1 16 "Agrícola" "Lycosidae" 44800 "Predadores" "A"
"106" "A" 2 "10" "10" "macro" "predador" "staphylinidae" 2 1276.28966795438 2 32 "Agrícola" "Staphylinidae" 40841.26937454 "Predadores" "A"
"107" "A" 2 "10" "10" "meso" "detritivoro" "ceratozetoidea" 3 47.6335896470612 3 8841 "Agrícola" "Ceratozetoidea" 421128.566069668 "Detritívoros" "A"
"108" "A" 2 "10" "10" "meso" "detritivoro" "enquitreido" 17 1763.20705729475 20 58946 "Agrícola" "Enchytraeida" 103934003.199297 "Detritívoros" "A"
"109" "A" 2 "10" "10" "meso" "detritivoro" "isotomidae" 14 5.02026685645174 16 47157 "Agrícola" "Isotomidae" 236740.724149695 "Detritívoros" "A"
"110" "A" 2 "10" "10" "meso" "detritivoro" "oripodidae" 11 22.4130280018892 13 38315 "Agrícola" "Oripodidae" 858755.167892384 "Detritívoros" "A"
"111" "A" 2 "10" "10" "meso" "microfitofago" "entomobryoidea" 1 118.720256529443 1 2947 "Agrícola" "Entomobryoidea" 349868.595992269 "Microfitófagos" "A"
"112" "A" 2 "10" "10" "meso" "microfitofago" "oppioidea" 1 9.18148630275309 1 2947 "Agrícola" "Oppioidea" 27057.8401342134 "Microfitófagos" "A"
"113" "A" 2 "10" "10" "meso" "microfitofago" "oribatulidae" 2 37.5903895350737 2 5894 "Agrícola" "Oribatulidae" 221557.755919725 "Microfitófagos" "A"
"114" "A" 2 "10" "10" "meso" "microfitofago" "symphyla" 1 2.13586017854838 1 2947 "Agrícola" "Symphyla" 6294.37994618208 "Microfitófagos" "A"
"115" "A" 2 "10" "10" "meso" "omnivoro" "astigmata" 10 33.5708732345146 12 35367 "Agrícola" "Astigmata" 1187301.07368508 "Omnívoros" "A"
"116" "A" 2 "10" "10" "meso" "omnivoro" "hipogastruridae" 7 8.57088220897363 8 23578 "Agrícola" "Hipogastruridae" 202084.26072318 "Omnívoros" "A"
"117" "A" 2 "10" "10" "meso" "predador" "mesostigmata" 1 10.9127275216957 1 2947 "Agrícola" "Mesostigmata" 32159.8080064372 "Predadores" "A"
"118" "A" 2 "10" "10" "micro" "herbivoro" "fitofago" 12 1.06013819851284 59 120193 "Agrícola" "Fitofago" 127421.190493854 "Herbivoros" "A"
"119" "A" 2 "10" "10" "micro" "microfitofago" "bacterivoro" 10 1.86384012750928 49 99821 "Agrícola" "Bacterivoro" 186050.385368104 "Microfitófagos" "A"
"120" "A" 2 "10" "10" "micro" "microfitofago" "fungivoro" 28 12.9521263752672 139 283168 "Agrícola" "Fungivoro" 3667627.72143166 "Microfitófagos" "A"
"121" "A" 2 "10" "10" "micro" "omnivoro" "omnivoro" 9 7.19003663979239 44 89636 "Agrícola" "Omnivoro" 644486.124244431 "Omnívoros" "A"
"122" "A" 2 "10" "10" "micro" "predador" "predador" 11 4.83920040814128 54 110007 "Agrícola" "Predador" 532345.919298398 "Predadores" "A"
"123" "A" 2 "20" "20" "macro" "detritivoro" "diplopoda" 1 16400 1 16 "Agrícola" "Diplopoda" 262400 "Detritívoros" "A"
"124" "A" 2 "20" "20" "macro" "predador" "staphylinidae" 1 2000 1 16 "Agrícola" "Staphylinidae" 32000 "Predadores" "A"
"125" "A" 2 "20" "20" "meso" "microfitofago" "entomobryoidea" 1 195.614748944503 1 2947 "Agrícola" "Entomobryoidea" 576476.66513945 "Microfitófagos" "A"
"126" "A" 2 "H" "Frag" "macro" "detritivoro" "pupa_diptera" 16 1439.759278625 19 304 "Agrícola" "Diptera pupa" 437686.820702 "Detritívoros" "A"
"127" "A" 2 "H" "Frag" "macro" "herbivoro" "trip" 2 195.033073345994 2 32 "Agrícola" "Thysanoptera" 6241.05834707179 "Herbivoros" "A"
"128" "A" 2 "H" "Frag" "macro" "microfitofago" "larva_sciaridae" 3 74.8534558286682 3 48 "Agrícola" "Sciaridae larva" 3592.96587977607 "Microfitófagos" "A"
"129" "A" 2 "H" "Frag" "meso" "detritivoro" "enquitreido" 7 1853.39478955792 8 23578 "Agrícola" "Enchytraeida" 43699342.3481965 "Detritívoros" "A"
"130" "A" 2 "H" "Frag" "meso" "detritivoro" "oripodidae" 3 22.1192135970981 3 8841 "Agrícola" "Oripodidae" 195555.967411945 "Detritívoros" "A"
"131" "A" 2 "H" "Frag" "meso" "detritivoro" "scheloribates" 1 14.7421958619386 1 2947 "Agrícola" "Scheloribates" 43445.251205133 "Detritívoros" "A"
"132" "A" 2 "H" "Frag" "meso" "microfitofago" "galumnidae" 1 76.3757742499752 1 2947 "Agrícola" "Galumnidae" 225079.406714677 "Microfitófagos" "A"
"133" "A" 2 "H" "Frag" "meso" "microfitofago" "oribatulidae" 4 32.0394315307484 4 11789 "Agrícola" "Oribatulidae" 377712.858315993 "Microfitófagos" "A"
"134" "A" 2 "H" "Frag" "meso" "omnivoro" "astigmata" 23 89.0524995717171 27 79577 "Agrícola" "Astigmata" 7086530.75841853 "Omnívoros" "A"
"135" "A" 2 "H" "Frag" "meso" "omnivoro" "eupodoidea" 1 3.84855324124881 1 2947 "Agrícola" "Eupodoidea" 11341.6864019602 "Omnívoros" "A"
"136" "A" 2 "H" "Frag" "meso" "predador" "bdelloidea" 1 5.76009980595814 1 2947 "Agrícola" "Bdelloidea" 16975.0141281586 "Predadores" "A"
"137" "A" 2 "H" "Frag" "meso" "predador" "parasitidae" 1 14.9415091952914 1 2947 "Agrícola" "Parasitidae" 44032.6275985238 "Predadores" "A"
"138" "A" 2 "H" "Frag" "meso" "predador" "rhagidiidae" 1 17.14785168471 1 2947 "Agrícola" "Rhagidiidae" 50534.7189148404 "Predadores" "A"
"139" "A" 2 "H" "H" "macro" "detritivoro" "diplopoda" 7 17771.4285714286 8 128 "Agrícola" "Diplopoda" 2274742.85714286 "Detritívoros" "A"
"140" "A" 2 "H" "H" "macro" "detritivoro" "larva_diptera" 1 8000 1 16 "Agrícola" "Diptera larva" 128000 "Detritívoros" "A"
"141" "A" 2 "H" "H" "macro" "detritivoro" "oniscoidea" 2 68200 2 32 "Agrícola" "Oniscoidea" 2182400 "Detritívoros" "A"
"142" "A" 2 "H" "H" "macro" "detritivoro" "pythidae" 1 96000 1 16 "Agrícola" "Pythidae" 1536000 "Detritívoros" "A"
"143" "A" 2 "H" "H" "macro" "predador" "lycosidae" 1 217600 1 16 "Agrícola" "Lycosidae" 3481600 "Predadores" "A"
"144" "A" 2 "H" "H" "meso" "detritivoro" "enquitreido" 2 1593.85548355834 2 5894 "Agrícola" "Enchytraeida" 9394184.22009289 "Detritívoros" "A"
"145" "A" 2 "H" "Hoja" "macro" "detritivoro" "pupa_diptera" 10 7793.5902267 12 192 "Agrícola" "Diptera pupa" 1496369.3235264 "Detritívoros" "A"
"146" "A" 2 "H" "Hoja" "meso" "detritivoro" "enquitreido" 1 3425.86040831773 1 2947 "Agrícola" "Enchytraeida" 10096010.6233124 "Detritívoros" "A"
"147" "A" 2 "H" "Hoja" "meso" "detritivoro" "isotomidae" 5 7.31805856518206 6 17683 "Agrícola" "Isotomidae" 129405.229608114 "Detritívoros" "A"
"148" "A" 2 "H" "Hoja" "meso" "detritivoro" "scheloribates" 2 17.3434667581857 2 5894 "Agrícola" "Scheloribates" 102222.393072747 "Detritívoros" "A"
"149" "A" 2 "H" "Hoja" "meso" "microfitofago" "symphyla" 1 16.7594281708667 1 2947 "Agrícola" "Symphyla" 49390.0348195442 "Microfitófagos" "A"
"150" "A" 2 "H" "Hoja" "meso" "omnivoro" "astigmata" 3 9.01198615362562 3 8841 "Agrícola" "Astigmata" 79674.9695842041 "Omnívoros" "A"
"151" "A" 2 "H" "Hoja" "meso" "omnivoro" "eupodoidea" 1 9.52966998228877 1 2947 "Agrícola" "Eupodoidea" 28083.937437805 "Omnívoros" "A"
"152" "A" 2 "H" "Hoja" "meso" "omnivoro" "hipogastruridae" 11 6.16312985352759 13 38315 "Agrícola" "Hipogastruridae" 236140.320337909 "Omnívoros" "A"
"153" "A" 2 "H" "humus" "macro" "herbivoro" "afido" 1 430.430482576265 1 16 "Agrícola" "Aphidoidea" 6886.88772122024 "Herbivoros" "A"
"154" "A" 2 "H" "humus" "macro" "herbivoro" "trip" 1 245.139127977026 1 16 "Agrícola" "Thysanoptera" 3922.22604763242 "Herbivoros" "A"
"155" "A" 2 "H" "humus" "meso" "detritivoro" "enquitreido" 29 1470.5788306455 34 100208 "Agrícola" "Enchytraeida" 147363763.461324 "Detritívoros" "A"
"156" "A" 2 "H" "humus" "meso" "detritivoro" "isotomidae" 66 13.2257926420365 79 232837 "Agrícola" "Isotomidae" 3079453.88139385 "Detritívoros" "A"
"157" "A" 2 "H" "humus" "meso" "detritivoro" "oripodidae" 8 15.5910532124055 9 26525 "Agrícola" "Oripodidae" 413552.686459055 "Detritívoros" "A"
"158" "A" 2 "H" "humus" "meso" "detritivoro" "scheloribates" 2 12.2259521866618 2 5894 "Agrícola" "Scheloribates" 72059.7621881845 "Detritívoros" "A"
"159" "A" 2 "H" "humus" "meso" "detritivoro" "symphypleona" 1 40.9920258551361 1 2947 "Agrícola" "Symphypleona" 120803.500195086 "Detritívoros" "A"
"160" "A" 2 "H" "humus" "meso" "microfitofago" "entomobryoidea" 1 40.5247008093213 1 2947 "Agrícola" "Entomobryoidea" 119426.29328507 "Microfitófagos" "A"
"161" "A" 2 "H" "humus" "meso" "microfitofago" "lohmanidae" 1 79.2427624886036 1 2947 "Agrícola" "Lohmanidae" 233528.421053915 "Microfitófagos" "A"
"162" "A" 2 "H" "humus" "meso" "microfitofago" "oribatulidae" 7 34.1946598115084 8 23578 "Agrícola" "Oribatulidae" 806241.689035745 "Microfitófagos" "A"
"163" "A" 2 "H" "humus" "meso" "microfitofago" "symphyla" 1 4.42827019703126 1 2947 "Agrícola" "Symphyla" 13050.1122706511 "Microfitófagos" "A"
"164" "A" 2 "H" "humus" "meso" "omnivoro" "astigmata" 8 31.4688945848744 9 26525 "Agrícola" "Astigmata" 834712.428863795 "Omnívoros" "A"
"165" "A" 2 "H" "humus" "meso" "omnivoro" "eupodoidea" 5 2.51778548152384 6 17683 "Agrícola" "Eupodoidea" 44522.0006697861 "Omnívoros" "A"
