"system" "site" "year" "month" "sample" "season" "class" "order" "specie" "guild" "habitat" "abundance" "bio.ind" "Tbiomass"
"14" "A" "casuarina" 2008 "noviembre" "norte" "P" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2037.18327157626 4.133592616 8420.88572882635
"15" "A" "casuarina" 2008 "noviembre" "norte" "P" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 1527.8874536822 1.65453134833333 2527.93768884239
"16" "A" "casuarina" 2008 "noviembre" "oeste" "P" "acari" "oribatida" "ceratozetoidea" "detritivore" "euedaphic" 1018.59163578813 5.930017341 6040.26606362117
"17" "A" "casuarina" 2008 "noviembre" "oeste" "P" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 5092.95817894065 3.8114525023 19411.5681952326
"18" "A" "casuarina" 2008 "noviembre" "oeste" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 1.231284328 1254.17591777781
"19" "A" "casuarina" 2008 "noviembre" "sur" "P" "acari" "oribatida" "brachychthonioidea" "microphytophages" "hemiedaphic" 509.295817894065 2.606904034 1327.68532216737
"20" "A" "casuarina" 2008 "noviembre" "sur" "P" "acari" "oribatida" "ceratozetoidea" "detritivore" "euedaphic" 1018.59163578813 4.3444078025 4425.17745007919
"21" "A" "casuarina" 2008 "noviembre" "sur" "P" "acari" "oribatida" "euphthiracaroidea" "detritivore" "euedaphic" 509.295817894065 5.819721947 2963.96004891341
"22" "A" "casuarina" 2008 "noviembre" "sur" "P" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 4074.36654315252 1.0115681895 4121.49958741617
"23" "A" "casuarina" 2008 "noviembre" "sur" "P" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2546.47908947033 4.1206362578 10493.114065801
"24" "A" "casuarina" 2008 "noviembre" "sur" "P" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 509.295817894065 0.253189887 128.948550582171
"25" "A" "casuarina" 2009 "agosto" "norte" "I" "acari" "mesostigmata" "veigaioidea" "predator" "epiedaphic" 509.295817894065 13.70331498 6979.04101059909
"26" "A" "casuarina" 2009 "agosto" "norte" "I" "acari" "oribatida" "euphthiracaroidea" "detritivore" "euedaphic" 509.295817894065 8.901824677 4533.66207962229
"27" "A" "casuarina" 2009 "agosto" "norte" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 1.506115313 1534.11646035422
"28" "A" "casuarina" 2009 "diciembre" "este" "V" "acari" "oribatida" "crotonioidea" "microphytophages" "hemiedaphic" 509.295817894065 5.10560961 2600.26562217275
"29" "A" "casuarina" 2009 "diciembre" "norte" "V" "acari" "oribatida" "crotonioidea" "microphytophages" "hemiedaphic" 5092.95817894065 10.356973023 52747.6304665555
"30" "A" "casuarina" 2009 "diciembre" "norte" "V" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 509.295817894065 22.70883907 11565.5167675803
"31" "A" "casuarina" 2009 "diciembre" "norte" "V" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 2546.47908947033 1.174834398 2991.69122809746
"32" "A" "casuarina" 2009 "diciembre" "norte" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 16297.4661726101 5.5379843783125 90255.113069991
"33" "A" "casuarina" 2009 "diciembre" "norte" "V" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 509.295817894065 1.693956253 862.724835348401
"34" "A" "casuarina" 2009 "diciembre" "norte" "V" "collembolla" "entomobryomorpha" "entomobroidea" "microphytophages" "epiedaphic" 1018.59163578813 3.1804669475 3239.59703062411
"35" "A" "casuarina" 2009 "diciembre" "norte" "V" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 509.295817894065 1.156672389 589.088410391237
"36" "A" "casuarina" 2009 "diciembre" "norte" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 2546.47908947033 0.8739363624 2225.46067237936
"37" "A" "casuarina" 2009 "diciembre" "oeste" "V" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 0.541705923 275.888561112344
"38" "A" "casuarina" 2009 "diciembre" "oeste" "V" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 1527.8874536822 30.3995622166667 46447.1097082763
"39" "A" "casuarina" 2009 "diciembre" "oeste" "V" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 2037.18327157626 0.94855880125 1932.38812201293
"40" "A" "casuarina" 2009 "diciembre" "oeste" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2037.18327157626 3.236514163 6593.37251108324
"41" "A" "casuarina" 2009 "diciembre" "oeste" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 2037.18327157626 1.27556387275 2598.55738339333
"42" "A" "casuarina" 2009 "diciembre" "sur" "V" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 19.56985091 9966.84322527336
"43" "A" "casuarina" 2009 "diciembre" "sur" "V" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 509.295817894065 29.87143475 15213.3967926704
"44" "A" "casuarina" 2009 "diciembre" "sur" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 509.295817894065 7.587142015 3864.09969800785
"45" "A" "casuarina" 2009 "diciembre" "sur" "V" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 509.295817894065 0.409978725 208.800450068041
"46" "A" "casuarina" 2009 "febrero" "centro" "V" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1527.8874536822 1.16819384433333 1784.86871822567
"47" "A" "casuarina" 2009 "febrero" "centro" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 0.798609979 813.457444866334
"48" "A" "casuarina" 2009 "febrero" "norte" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 1018.59163578813 3.5719271145 3638.33508247453
"49" "A" "casuarina" 2009 "febrero" "norte" "V" "collembolla" "entomobryomorpha" "entomobroidea" "microphytophages" "epiedaphic" 509.295817894065 2.291656998 1167.13132512907
"50" "A" "casuarina" 2009 "febrero" "norte" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1527.8874536822 1.357464284 2074.05264834528
"51" "A" "casuarina" 2009 "febrero" "oeste" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 1018.59163578813 3.408911134 3472.28836823743
"52" "A" "casuarina" 2009 "febrero" "oeste" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1527.8874536822 1.03815462766667 1586.18343059401
"53" "A" "casuarina" 2009 "marzo" "este" "V" "acari" "mesostigmata" "veigaioidea" "predator" "epiedaphic" 509.295817894065 5.506175471 2804.27213997118
"54" "A" "casuarina" 2009 "marzo" "este" "V" "acari" "oribatida" "ceratozetoidea" "detritivore" "euedaphic" 2546.47908947033 4.6554646452 11855.0433707702
"55" "A" "casuarina" 2009 "marzo" "este" "V" "acari" "oribatida" "crotonioidea" "microphytophages" "hemiedaphic" 509.295817894065 0.832940977 424.213356138697
"56" "A" "casuarina" 2009 "marzo" "este" "V" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 509.295817894065 24.66043738 12559.4576250725
"57" "A" "casuarina" 2009 "marzo" "este" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 4074.36654315252 3.386660804375 13798.4974743515
"58" "A" "casuarina" 2009 "marzo" "este" "V" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 1018.59163578813 0.3845294625 391.678494216605
"59" "A" "casuarina" 2009 "mayo" "este" "O" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 509.295817894065 2.156886721 1098.49338667654
"60" "A" "casuarina" 2009 "mayo" "este" "O" "collembolla" "Symphypleona" "symphypleona" "detritivore" "hemiedaphic" 509.295817894065 4.531614008 2307.93206258456
"61" "A" "casuarina" 2009 "mayo" "norte" "O" "acari" "mesostigmata" "parasitoidea" "predator" "epiedaphic" 509.295817894065 15.42702027 7856.91690607797
"62" "A" "casuarina" 2009 "mayo" "norte" "O" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 509.295817894065 0.548243053 279.217894082374
"63" "A" "casuarina" 2009 "mayo" "norte" "O" "collembolla" "entomobryomorpha" "entomobroidea" "microphytophages" "epiedaphic" 509.295817894065 2.357355759 1200.59142934719
"64" "A" "casuarina" 2009 "mayo" "norte" "O" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 509.295817894065 1.082180807 551.150159210324
"65" "A" "casuarina" 2009 "mayo" "oeste" "O" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 0.9867946425 1005.14076909104
"66" "A" "casuarina" 2010 "diciembre" "este" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 31067.044891538 2.15121341381967 66831.8436984144
"67" "A" "casuarina" 2010 "diciembre" "norte" "V" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 0.626656434 638.307002185216
"68" "A" "casuarina" 2010 "diciembre" "norte" "V" "collembolla" "entomobryomorpha" "isotomidae" "detritivore" "hemiedaphic" 509.295817894065 1.194439796 608.32319282904
"69" "A" "casuarina" 2010 "diciembre" "norte" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 4583.66236104659 1.06048242166667 4860.89336074503
"70" "A" "casuarina" 2010 "diciembre" "sur" "V" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1527.8874536822 1.33841753366667 2044.95135747757
"71" "A" "casuarina" 2010 "diciembre" "sur" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 9167.32472209317 4.21170885261111 38610.1026868005
"72" "A" "casuarina" 2010 "diciembre" "sur" "V" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 1527.8874536822 0.162912529333333 248.912009616033
"73" "A" "casuarina" 2010 "diciembre" "sur" "V" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 2546.47908947033 0.397801907 1012.99423792692
"74" "A" "casuarina" 2010 "diciembre" "sur" "V" "collembolla" "entomobryomorpha" "isotomidae" "detritivore" "hemiedaphic" 9676.62053998724 0.956222936210526 9253.00650534168
"75" "A" "casuarina" 2010 "diciembre" "sur" "V" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 21899.7201694448 1.26727976472093 27753.0722237882
"76" "A" "casuarina" 2010 "junio" "centro" "I" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 7.385139599 3761.22071233455
"77" "A" "casuarina" 2010 "junio" "centro" "I" "acari" "mesostigmata" "veigaioidea" "predator" "epiedaphic" 509.295817894065 21.15669944 10775.0185452337
"78" "A" "casuarina" 2010 "junio" "centro" "I" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 1018.59163578813 29.38484925 29931.1616649451
"79" "A" "casuarina" 2010 "junio" "centro" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2037.18327157626 6.09061351925 12407.6959750523
"80" "A" "casuarina" 2010 "junio" "centro" "I" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 509.295817894065 0.6301754 320.94569575972
"81" "A" "casuarina" 2010 "junio" "centro" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 3565.07072525846 1.66659289242857 5941.52153172091
"82" "A" "casuarina" 2010 "junio" "este" "I" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 509.295817894065 27.31041698 13909.0811528571
"83" "A" "casuarina" 2010 "junio" "este" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1527.8874536822 2.07642376333333 3172.54181652457
"84" "A" "casuarina" 2010 "junio" "norte" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 1527.8874536822 14.8777923633333 22731.5922904258
"85" "A" "casuarina" 2010 "junio" "norte" "I" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 1527.8874536822 1.70095278933333 2598.86442612813
"86" "A" "casuarina" 2010 "junio" "oeste" "I" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 7.546605683 3843.45471364748
"87" "A" "casuarina" 2010 "junio" "oeste" "I" "acari" "mesostigmata" "veigaioidea" "predator" "epiedaphic" 1527.8874536822 11.9863183053333 18313.74535456
"88" "A" "casuarina" 2010 "junio" "oeste" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 5602.25399683472 6.82653263254545 38243.9697252004
"89" "A" "casuarina" 2010 "junio" "oeste" "I" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 509.295817894065 0.579691251 295.234329804079
"90" "A" "casuarina" 2010 "junio" "oeste" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 5602.25399683472 1.69887650590909 9517.5376953578
"91" "A" "casuarina" 2010 "junio" "sur" "I" "acari" "oribatida" "euphthiracaroidea" "detritivore" "euedaphic" 1018.59163578813 13.703605315 13958.3777540008
"92" "A" "casuarina" 2010 "junio" "sur" "I" "acari" "oribatida" "galumnioidea" "microphytophages" "hemiedaphic" 1018.59163578813 27.576768245 28089.4654764247
"93" "A" "casuarina" 2010 "junio" "sur" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 13241.6912652457 2.2812515705 30207.6289949179
"94" "A" "casuarina" 2010 "junio" "sur" "I" "collembolla" "Symphypleona" "symphypleona" "detritivore" "hemiedaphic" 509.295817894065 1.285168924 654.531158280616
"95" "A" "casuarina" 2010 "junio" "sur" "I" "collembolla" "entomobryomorpha" "isotomidae" "detritivore" "hemiedaphic" 1527.8874536822 0.884461233666667 1351.35722218758
"96" "A" "casuarina" 2010 "junio" "sur" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 8658.02890419911 2.56738984076471 22228.535449688
"97" "A" "casuarina" 2010 "marzo" "norte" "O" "acari" "mesostigmata" "dermanyssoidea" "predator" "epiedaphic" 509.295817894065 2.714895372 1382.68485897955
"98" "A" "casuarina" 2010 "marzo" "norte" "O" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2037.18327157626 5.158174294 10508.1463836115
"99" "A" "casuarina" 2010 "marzo" "norte" "O" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 1527.8874536822 0.311657047333333 476.176892472238
"100" "A" "casuarina" 2010 "marzo" "norte" "O" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 1.0572162745 1076.87165442479
"101" "A" "casuarina" 2010 "marzo" "sur" "O" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 1.453853528 740.441521640932
"102" "A" "casuarina" 2010 "marzo" "sur" "O" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 1527.8874536822 0.181622184333333 277.498256753255
"103" "A" "casuarina" 2010 "marzo" "sur" "O" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 2037.18327157626 0.35264946475 718.411590319022
"104" "A" "casuarina" 2010 "septiembre" "centro" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 3565.07072525846 1.91194838942857 6816.23123135685
"105" "A" "casuarina" 2010 "septiembre" "este" "P" "acari" "mesostigmata" "veigaioidea" "predator" "epiedaphic" 509.295817894065 0.413400354 210.543071408126
"106" "A" "casuarina" 2010 "septiembre" "este" "P" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 1.183675929 1205.68240076314
"107" "A" "casuarina" 2010 "septiembre" "este" "P" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 1018.59163578813 0.43162778 439.652446481799
"108" "A" "casuarina" 2010 "septiembre" "este" "P" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 1527.8874536822 0.195619017666667 298.883842794536
"109" "A" "casuarina" 2010 "septiembre" "este" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 2546.47908947033 1.6134255876 4108.55452123977
"110" "A" "casuarina" 2010 "septiembre" "norte" "P" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 509.295817894065 2.462669208 1254.22712849089
"111" "A" "casuarina" 2010 "septiembre" "norte" "P" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 509.295817894065 4.644757323 2365.55547973673
"112" "A" "casuarina" 2010 "septiembre" "norte" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 0.6614501875 673.74762847799
"113" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "mesostigmata" "dermanyssoidea" "predator" "epiedaphic" 509.295817894065 1.159105163 590.327412015319
"114" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 0.967547714 492.768004353163
"115" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 1.0472089415 1066.67826873444
"116" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 5092.95817894065 3.840506948 19559.541272095
"117" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 509.295817894065 0.398164567 202.783548806701
"118" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 1018.59163578813 0.4186252675 426.408196005069
"119" "A" "casuarina" 2010 "septiembre" "oeste" "P" "acari" "trombidiformes" "trombidioidea" "predator" "hemiedaphic" 509.295817894065 34.60423344 17623.791372422
"120" "A" "casuarina" 2010 "septiembre" "oeste" "P" "collembolla" "Symphypleona" "symphypleona" "detritivore" "hemiedaphic" 509.295817894065 6.801105679 3463.77467937028
"121" "A" "casuarina" 2010 "septiembre" "oeste" "P" "collembolla" "entomobryomorpha" "entomobroidea" "microphytophages" "epiedaphic" 509.295817894065 9.328849641 4751.14410792385
"122" "A" "casuarina" 2010 "septiembre" "oeste" "P" "collembolla" "entomobryomorpha" "isotomidae" "detritivore" "hemiedaphic" 1527.8874536822 1.53664321233333 2347.81788491001
"123" "A" "casuarina" 2010 "septiembre" "oeste" "P" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 509.295817894065 0.301496841 153.551080229572
"124" "A" "casuarina" 2010 "septiembre" "oeste" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 10695.2121757754 1.69620476557143 18141.2698613477
"125" "A" "casuarina" 2010 "septiembre" "sur" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 1.0106429625 1029.43246837064
"126" "A" "manga" 2008 "agosto" "centro" "I" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 509.295817894065 0.94504045 481.305148925725
"127" "A" "manga" 2008 "agosto" "centro" "I" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 2037.18327157626 1.21874006625 2482.79687536424
"128" "A" "manga" 2008 "agosto" "centro" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 4583.66236104659 0.627550643333333 2876.48026349757
"129" "A" "manga" 2008 "agosto" "este" "I" "acari" "oribatida" "euphthiracaroidea" "detritivore" "euedaphic" 509.295817894065 7.651512655 3896.88339575501
"130" "A" "manga" 2008 "agosto" "este" "I" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 1.0448610665 1064.28674289757
"131" "A" "manga" 2008 "agosto" "este" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 9167.32472209317 3.66265746166667 33576.7702968959
"132" "A" "manga" 2008 "agosto" "este" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 2037.18327157626 0.9486924395 1932.66036762027
"133" "A" "manga" 2008 "agosto" "norte" "I" "acari" "oribatida" "ceratozetoidea" "detritivore" "euedaphic" 509.295817894065 32.95346083 16783.0597858549
"134" "A" "manga" 2008 "agosto" "norte" "I" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 51948.1734251946 0.677760152803922 35208.4019585445
"135" "A" "manga" 2008 "agosto" "norte" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 3565.07072525846 3.51612651414286 12535.2397018758
"136" "A" "manga" 2008 "agosto" "norte" "I" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 509.295817894065 0.824253548 419.788884880745
"137" "A" "manga" 2008 "agosto" "norte" "I" "collembolla" "poduromorpha" "hypogastruridae" "omnivore" "hemiedaphic" 509.295817894065 0.69843941 355.712270565398
"138" "A" "manga" 2008 "agosto" "norte" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1527.8874536822 0.40321246 616.063258802334
"139" "A" "manga" 2008 "agosto" "sur" "I" "acari" "oribatida" "euphthiracaroidea" "detritivore" "euedaphic" 1527.8874536822 13.4335509666667 20524.9539803703
"140" "A" "manga" 2008 "agosto" "sur" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 1018.59163578813 4.5544638155 4639.13874796799
"141" "A" "manga" 2008 "noviembre" "norte" "P" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 0.8727851895 889.011693864458
"142" "A" "manga" 2008 "noviembre" "norte" "P" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 509.295817894065 2.366365977 1205.1802956929
"143" "A" "manga" 2008 "noviembre" "norte" "P" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 509.295817894065 1.359707202 692.493191539041
"144" "A" "manga" 2008 "noviembre" "sur" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 1527.8874536822 4.173685737 6376.92207317463
"145" "A" "manga" 2009 "agosto" "este" "I" "acari" "mesostigmata" "rhodacaroidea" "predator" "euedaphic" 509.295817894065 15.25230628 7767.93580164339
"146" "A" "manga" 2009 "agosto" "este" "I" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 0.621855504 633.416815043212
"147" "A" "manga" 2009 "agosto" "este" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2037.18327157626 5.11221638625 10414.5217027465
"148" "A" "manga" 2009 "agosto" "este" "I" "acari" "trombidiformes" "eupodoidea" "omnivore" "hemiedaphic" 509.295817894065 4.493205277 2288.37065651564
"149" "A" "manga" 2009 "agosto" "sur" "I" "acari" "oribatida" "epilohmannioidea" "detritivore" "hemiedaphic" 1018.59163578813 1.0956497725 1116.01969402167
"150" "A" "manga" 2009 "agosto" "sur" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 509.295817894065 0.393577109 200.447175632537
"151" "A" "manga" 2009 "diciembre" "norte" "V" "acari" "mesostigmata" "veigaioidea" "predator" "epiedaphic" 509.295817894065 2.189752564 1115.23182306801
"152" "A" "manga" 2009 "diciembre" "norte" "V" "acari" "oribatida" "crotonioidea" "microphytophages" "hemiedaphic" 509.295817894065 12.14122226 6183.47372114033
"153" "A" "manga" 2009 "diciembre" "oeste" "V" "acari" "mesostigmata" "dermanyssoidea" "predator" "epiedaphic" 1018.59163578813 14.87088198 15147.3560016204
"154" "A" "manga" 2009 "diciembre" "oeste" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 2546.47908947033 3.2370705072 8243.1323577259
"155" "A" "manga" 2009 "diciembre" "sur" "V" "acari" "oribatida" "crotonioidea" "microphytophages" "hemiedaphic" 509.295817894065 2.002254519 1019.73985288619
"156" "A" "manga" 2009 "diciembre" "sur" "V" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 509.295817894065 2.004032233 1020.6452351918
"157" "A" "manga" 2009 "diciembre" "sur" "V" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 3055.77490736439 3.5338833035 10798.7519243893
"158" "A" "manga" 2009 "diciembre" "sur" "V" "collembolla" "entomobryomorpha" "entomobroidea" "microphytophages" "epiedaphic" 1018.59163578813 4.267361759 4346.69899459952
"159" "A" "manga" 2009 "febrero" "sur" "V" "acari" "oribatida" "epilohmannioidea" "detritivore" "hemiedaphic" 509.295817894065 2.103818836 1071.46613478156
"160" "A" "manga" 2009 "febrero" "sur" "V" "acari" "trombidiformes" "bdelloidea" "predator" "euedaphic" 509.295817894065 0.851189374 433.507188414067
"161" "A" "manga" 2009 "mayo" "este" "O" "acari" "oribatida" "epilohmannioidea" "detritivore" "hemiedaphic" 509.295817894065 1.786292378 909.751237651444
"162" "A" "manga" 2009 "mayo" "este" "O" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1018.59163578813 1.816056913 1849.82038169701
"163" "A" "manga" 2009 "mayo" "este" "O" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 509.295817894065 3.350750663 1706.52329947167
