ID	system	site	sample	month	year	specie	biomass	length	width	season	class	order	habitat	guild	P	MO	CE	Ph	DAP	HR	Ca	Mg	Sodio	K	N	ARA	RESP	RM5	RM10	bm	POM	LATITUD	LONGITUD	Latitud	Longitud	X	Y
13	N	triangulo	centro	agosto	2008	uropodoidea	36.92380733	843.3545	645.7716	I	acari	mesostigmata	epiedaphic	predator	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
14	N	triangulo	centro	noviembre	2008	gasteropoda	18.93883652	541.241	444.1786	P	macrofauna	macrofauna	euedaphic	detritivore	11.78	2.85	1.1	6.9	1.16	0.24	6.05	1.5	1	1.12	0.3034	0.388	0.1049	10	20	522267.728	991800000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
15	N	triangulo	centro	noviembre	2008	isopodos	2350.770337	4938.864	1903.197	P	macrofauna	macrofauna	euedaphic	xilophago	11.78	2.85	1.1	6.9	1.16	0.24	6.05	1.5	1	1.12	0.3034	0.388	0.1049	10	20	522267.728	991800000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
16	N	triangulo	centro	noviembre	2008	oripodoidea	3.723689283	389.6143	239.9168	P	acari	oribatida	hemiedaphic	detritivore	11.78	2.85	1.1	6.9	1.16	0.24	6.05	1.5	1	1.12	0.3034	0.388	0.1049	10	20	522267.728	991800000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
17	N	triangulo	centro	noviembre	2008	oripodoidea	14.38554106	592.6686	387.7107	P	acari	oribatida	hemiedaphic	detritivore	11.78	2.85	1.1	6.9	1.16	0.24	6.05	1.5	1	1.12	0.3034	0.388	0.1049	10	20	522267.728	991800000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
18	N	triangulo	centro	noviembre	2008	uropodoidea	31.30233492	795.7698	612.9752	P	acari	mesostigmata	epiedaphic	predator	11.78	2.85	1.1	6.9	1.16	0.24	6.05	1.5	1	1.12	0.3034	0.388	0.1049	10	20	522267.728	991800000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
19	N	triangulo	centro	mayo	2009	onychiuridae	0.629999005	498.8176	134.6239	O	collembolla	poduromorpha	euedaphic	microphytophages	12.1	2.52	0.94	7.3	1.17	0.23	6.15	1.6	1.3	1.24	0.2606	0.0001	0.0347	8.25	12.75	174250.908	884520000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
20	N	triangulo	centro	agosto	2009	crotonioidea	1.274555728	295.5136	131.4619	I	acari	oribatida	hemiedaphic	microphytophages	4.91	3.99	0.72	7.77	1.29	0.28	6.19	1.62	1.04	1.084	0.27	0.177723378	0.09	3	4	498301.2	1544130000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
21	N	triangulo	centro	agosto	2009	lom_juv	1900.27763655523			I	engineer	crassiclitellata	euedaphic	detritivore	4.91	3.99	0.72	7.77	1.29	0.28	6.19	1.62	1.04	1.084	0.27	0.177723378	0.09	3	4	498301.2	1544130000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
22	N	triangulo	centro	agosto	2009	lom_juv	1900.27763655523			I	engineer	crassiclitellata	euedaphic	detritivore	4.91	3.99	0.72	7.77	1.29	0.28	6.19	1.62	1.04	1.084	0.27	0.177723378	0.09	3	4	498301.2	1544130000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
23	N	triangulo	centro	diciembre	2009	entomobroidea	29.81171856	2081.5351	544.6282	V	collembolla	entomobryomorpha	epiedaphic	microphytophages	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
24	N	triangulo	centro	diciembre	2009	isoptera	26.45170382	783.1413	141.675	V	macrofauna	macrofauna	hemiedaphic	xilophago	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
25	N	triangulo	centro	diciembre	2009	rhodacaroidea	12.65115985	651.4891	342.9421	V	acari	mesostigmata	euedaphic	predator	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
26	N	triangulo	centro	diciembre	2009	Apo_ros	10433.2727275489			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
27	N	triangulo	centro	diciembre	2009	Apo_ros	10433.2727275489			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
28	N	triangulo	centro	diciembre	2009	Apo_ros	10433.2727275489			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
29	N	triangulo	centro	diciembre	2009	octala	86228.4353739293			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
30	N	triangulo	centro	diciembre	2009	octala	86228.4353739293			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
31	N	triangulo	centro	diciembre	2009	octala	86228.4353739293			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
32	N	triangulo	centro	diciembre	2009	octacy	373157.28262416			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
33	N	triangulo	centro	diciembre	2009	octacy	373157.28262416			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
34	N	triangulo	centro	diciembre	2009	octacy	373157.28262416			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
35	N	triangulo	centro	diciembre	2009	lom_juv	1900.27763655523			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
36	N	triangulo	centro	diciembre	2009	lom_juv	1900.27763655523			V	engineer	crassiclitellata	euedaphic	detritivore	2.05	5.81	1.75	8.16	1.02	0.26	9.9	1.72	0.08	1.7	0.177121	0.062319751	0.09	8	8.75	394005.6	1777860000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
37	N	triangulo	centro	marzo	2010	isotomidae	0.145587904	277.6964	76.7156	O	collembolla	entomobryomorpha	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
38	N	triangulo	centro	marzo	2010	isotomidae	0.143550955	276.2925	87.7628	O	collembolla	entomobryomorpha	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
39	N	triangulo	centro	marzo	2010	isotomidae	0.101878544	244.2303	52.6387	O	collembolla	entomobryomorpha	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
40	N	triangulo	centro	marzo	2010	isotomidae	0.295720847	358.3225	52.5586	O	collembolla	entomobryomorpha	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
41	N	triangulo	centro	marzo	2010	isotomidae	3.485544391	870.2934	121.9244	O	collembolla	entomobryomorpha	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
42	N	triangulo	centro	marzo	2010	isotomidae	1.045980882	564.4523	111.4508	O	collembolla	entomobryomorpha	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
43	N	triangulo	centro	marzo	2010	rhodacaroidea	0.789343629	272.3439	110.49	O	acari	mesostigmata	euedaphic	predator	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
44	N	triangulo	centro	marzo	2010	rhodacaroidea	0.634112117	244.7463	111.0606	O	acari	mesostigmata	euedaphic	predator	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
45	N	triangulo	centro	marzo	2010	rhodacaroidea	1.135690869	301.8827	131.8688	O	acari	mesostigmata	euedaphic	predator	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
46	N	triangulo	centro	marzo	2010	eupodoidea	0.18918921	201.3266	84.6841	O	acari	trombidiformes	hemiedaphic	predator	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
47	N	triangulo	centro	marzo	2010	rhodacaroidea	4.531302763	471.599	225.7064	O	acari	mesostigmata	euedaphic	predator	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
48	N	triangulo	centro	marzo	2010	oripodoidea	6.785138186	472.8361	294.378	O	acari	oribatida	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
49	N	triangulo	centro	marzo	2010	oripodoidea	10.58491437	528.1188	355.8666	O	acari	oribatida	hemiedaphic	detritivore	1.12	5.36	1.06	6.64	0.91	0.22	10	2.1	1	1.6	0.396	0.478022056	0.08	6.5	8	312457.6	1463280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
50	N	triangulo	centro	junio	2010	galumnioidea	76.36768537	993.0969	775.1661	I	acari	oribatida	hemiedaphic	microphytophages	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
51	N	triangulo	centro	junio	2010	hypogastruridae	3.22773167	647.638	210.2653	I	collembolla	poduromorpha	hemiedaphic	omnivore	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
52	N	triangulo	centro	junio	2010	hypogastruridae	2.594760628	594.5054	143.188	I	collembolla	poduromorpha	hemiedaphic	omnivore	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
53	N	triangulo	centro	junio	2010	hypogastruridae	2.732271257	606.6672	170.3758	I	collembolla	poduromorpha	hemiedaphic	omnivore	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
54	N	triangulo	centro	junio	2010	hypogastruridae	1.602744701	492.157	186.1883	I	collembolla	poduromorpha	hemiedaphic	omnivore	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
55	N	triangulo	centro	junio	2010	hypogastruridae	0.572452131	328.6703	113.3673	I	collembolla	poduromorpha	hemiedaphic	omnivore	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
56	N	triangulo	centro	junio	2010	oripodoidea	2.585688224	340.5363	216.0626	I	acari	oribatida	hemiedaphic	detritivore	2.15	6.25	0.4	7.69	1.24	0.34	8.8	1.55	1.23	1.7	0.3831	0.15	0.103888889	0	3.5	552904.97836912	2325000000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
57	N	triangulo	centro	septiembre	2010	epilohmannioidea	3.331138976	506.1516	180.6558	P	acari	oribatida	hemiedaphic	detritivore	3.5	5.56	0.26	7.68	1.14	0.33	8	1.55	1.44	1.1	0.2662	0.194	0.033	5.5	9.5	161465.04	1901520000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
58	N	triangulo	centro	septiembre	2010	crotonioidea	0.536922839	210.4107	109.3597	P	acari	oribatida	hemiedaphic	microphytophages	3.5	5.56	0.26	7.68	1.14	0.33	8	1.55	1.44	1.1	0.2662	0.194	0.033	5.5	9.5	161465.04	1901520000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
59	N	triangulo	centro	septiembre	2010	hypogastruridae	1.965996481	533.2062	233.8832	P	collembolla	poduromorpha	hemiedaphic	omnivore	3.5	5.56	0.26	7.68	1.14	0.33	8	1.55	1.44	1.1	0.2662	0.194	0.033	5.5	9.5	161465.04	1901520000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
60	N	triangulo	centro	septiembre	2010	hypogastruridae	11.84341241	1078.2911	300.1846	P	collembolla	poduromorpha	hemiedaphic	omnivore	3.5	5.56	0.26	7.68	1.14	0.33	8	1.55	1.44	1.1	0.2662	0.194	0.033	5.5	9.5	161465.04	1901520000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
61	N	triangulo	centro	septiembre	2010	hypogastruridae	13.16611489	1124.0036	276.2293	P	collembolla	poduromorpha	hemiedaphic	omnivore	3.5	5.56	0.26	7.68	1.14	0.33	8	1.55	1.44	1.1	0.2662	0.194	0.033	5.5	9.5	161465.04	1901520000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
62	N	triangulo	centro	diciembre	2010	entomobroidea	4.880439069	1015.0969	260.5091	V	collembolla	entomobryomorpha	epiedaphic	microphytophages	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
63	N	triangulo	centro	diciembre	2010	isotomidae	1.698736134	672.0219	103.5694	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
64	N	triangulo	centro	diciembre	2010	isotomidae	2.440874096	765.6127	186.4289	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
65	N	triangulo	centro	diciembre	2010	isotomidae	2.121119737	727.9035	137.4737	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
66	N	triangulo	centro	diciembre	2010	isotomidae	1.025715362	560.4938	106.6779	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
67	N	triangulo	centro	diciembre	2010	isotomidae	1.004016464	556.1994	119.8708	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
68	N	triangulo	centro	diciembre	2010	isotomidae	0.593732621	460.4285	113.8216	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
69	N	triangulo	centro	diciembre	2010	isotomidae	0.897265024	534.1575	114.4989	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
70	N	triangulo	centro	diciembre	2010	isotomidae	1.236486828	599.468	132.876	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
71	N	triangulo	centro	diciembre	2010	isotomidae	4.335201409	941.3353	203.4375	V	collembolla	entomobryomorpha	hemiedaphic	detritivore	7.82	4.61	0.39	7.1	1.23	0.14	7.5	1.53	0.9	1.6	0.3476	0.08	0.039942857	24	0	210864.73296012	1701090000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
