ID;system;site;sample;month;year;specie;ind;biomass;length;width;season;class;order;habitat;guild;diet;P;MO;CE;Ph;DAP;HR;Ca;Mg;NA;K;N;ARA;RESP;RM_0-5;RM_5=10
14;A;casuarina;sur;noviembre;2008;oripodoidea;14;2,93532175;357,6627;223,4926;P;acari;oribatida;hemiedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
15;A;casuarina;sur;noviembre;2008;oppioidea;15;0,700402865;235,4978;130,2458;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
16;A;casuarina;sur;noviembre;2008;brachychthonioidea;16;2,606904034;347,8696;205,3551;P;acari;oribatida;hemiedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
17;A;casuarina;sur;noviembre;2008;eupodoidea;17;0,253189887;221,8628;117,2396;P;acari;trombidiformes;hemiedaphic;predator;predator;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
18;A;casuarina;sur;noviembre;2008;oripodoidea;16;7,698406276;526,7431;284,3295;P;acari;oribatida;hemiedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
19;A;casuarina;sur;diciembre;2009;rhodacaroidea;1;19,56985091;797,1608;348,9084;V;acari;mesostigmata;euedaphic;predator;predator;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
20;A;casuarina;sur;diciembre;2009;díptera;2;234,9946149;2146,1532;484,656;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
21;A;casuarina;sur;diciembre;2009;formicidae;3;2,79495103;311,0107;82,3705;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
22;A;casuarina;sur;diciembre;2009;formicidae;4;3,873143497;357,4415;96,4101;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
23;A;casuarina;sur;diciembre;2009;formicidae;5;54,68859318;1105,6093;315,2994;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
24;A;casuarina;sur;diciembre;2009;miriapodo;6;1616,106145;5479,7633;656,272;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
25;A;casuarina;sur;diciembre;2009;miriapodo;7;1150,215362;4750,1451;965,3893;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
26;A;casuarina;sur;diciembre;2009;oripodoidea;8;7,587142015;492,0691;304,4568;V;acari;oribatida;hemiedaphic;detritivore;panphytophages;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
27;A;casuarina;sur;diciembre;2009;galumnioidea;9;29,87143475;716,9328;587,6001;V;acari;oribatida;hemiedaphic;microphytophages;microphytophages;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
28;A;casuarina;sur;diciembre;2009;formicidae;10;140,9285009;1655,519;385,5599;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
29;A;casuarina;sur;diciembre;2009;formicidae;11;133,0968253;1615,6372;402,1387;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
30;A;casuarina;sur;diciembre;2009;formicidae;12;123,0333497;1562,3606;377,6807;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
31;A;casuarina;sur;diciembre;2009;formicidae;13;128,1702713;1589,8557;290,8911;V;macrofauna;macrofauna;;;;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
32;A;casuarina;sur;diciembre;2009;hypogastruridae;14;0,409978725;288,341;112,1498;V;collembolla;poduromorpha;hemiedaphic;omnivore;omnivore;24,42325;5,903496503;0,64;5,87;1,155660071;0,190818812;6,25;0,89;0,19;2,89;0,235368;0,25;0,05016;2;5
33;A;casuarina;sur;marzo;2010;bdelloidea;1;0,173641323;195,6531;90,8062;O;acari;trombidiformes;euedaphic;predator;predator;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
34;A;casuarina;sur;marzo;2010;bdelloidea;2;0,19183452;202,2606;107,292;O;acari;trombidiformes;euedaphic;predator;predator;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
35;A;casuarina;sur;marzo;2010;bdelloidea;3;0,17939071;197,7891;70,9871;O;acari;trombidiformes;euedaphic;predator;predator;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
36;A;casuarina;sur;marzo;2010;onychiuridae;4;0,109876207;264,3302;64,8417;O;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
37;A;casuarina;sur;marzo;2010;isóptera;5;23,36960733;742,0194;232,8371;O;macrofauna;macrofauna;;;;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
38;A;casuarina;sur;marzo;2010;rhodacaroidea;6;1,453853528;314,7634;159,4719;O;acari;mesostigmata;euedaphic;predator;predator;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
39;A;casuarina;sur;marzo;2010;onychiuridae;7;0,242951973;352,7459;95,4368;O;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
40;A;casuarina;sur;marzo;2010;onychiuridae;8;0,586263953;485,9363;109,2135;O;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
41;A;casuarina;sur;marzo;2010;onychiuridae;9;0,471505726;448,9284;78,1661;O;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;0;3,654545455;0,468;5,84;1,303210065;0,248641229;7,075;0,885;0,8;1,66;0,2314;0,31;0,0052431;1,25;1,75
42;A;casuarina;sur;junio;2010;isotomidae;1;1,487308325;640,6474;145,9041;I;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
43;A;casuarina;sur;junio;2010;isotomidae;2;0,4800434;426,5373;75,4681;I;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
44;A;casuarina;sur;junio;2010;isotomidae;3;0,686031976;484,9929;84,2886;I;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
45;A;casuarina;sur;junio;2010;oripodoidea;4;5,640728416;452,1056;271,7273;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
46;A;casuarina;sur;junio;2010;oripodoidea;5;6,187847024;456,4588;287,1012;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
47;A;casuarina;sur;junio;2010;oripodoidea;6;7,816684286;524,6473;288,7721;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
48;A;casuarina;sur;junio;2010;oripodoidea;7;6,774121631;494,6598;279,0782;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
49;A;casuarina;sur;junio;2010;euphthiracaroidea;8;16,03208162;750,8657;340,0803;I;acari;oribatida;euedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
50;A;casuarina;sur;junio;2010;euphthiracaroidea;9;11,37512901;830,5998;245,6656;I;acari;oribatida;euedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
51;A;casuarina;sur;junio;2010;oripodoidea;10;10,77142677;543,0896;366,2669;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
52;A;casuarina;sur;junio;2010;oripodoidea;11;1,199247924;250,6978;177,8938;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
53;A;casuarina;sur;junio;2010;oripodoidea;12;1,15744422;258,6044;167,3208;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
54;A;casuarina;sur;junio;2010;oripodoidea;13;0,893902501;236,3757;154,3714;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
55;A;casuarina;sur;junio;2010;oripodoidea;14;0,960437732;233,5734;164,7521;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
56;A;casuarina;sur;junio;2010;oripodoidea;15;0,970967823;244,3263;157,6141;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
57;A;casuarina;sur;junio;2010;oripodoidea;16;0,879377462;248,6983;143,8622;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
58;A;casuarina;sur;junio;2010;oripodoidea;17;1,200368493;244,7724;183,0084;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
59;A;casuarina;sur;junio;2010;oripodoidea;18;0,933820843;251,2774;148,3872;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
60;A;casuarina;sur;junio;2010;oripodoidea;19;0,773020581;234,4668;140,4659;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
61;A;casuarina;sur;junio;2010;oripodoidea;20;1,461261732;276,8678;182,6257;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
62;A;casuarina;sur;junio;2010;oripodoidea;21;1,989593438;304,8743;203,6468;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
63;A;casuarina;sur;junio;2010;oripodoidea;22;1,334826308;279,7308;169,168;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
64;A;casuarina;sur;junio;2010;oripodoidea;23;1,296322118;267,2802;174,6301;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
65;A;casuarina;sur;junio;2010;oripodoidea;24;1,028314127;252,2098;158,2839;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
66;A;casuarina;sur;junio;2010;oripodoidea;25;1,275588939;282,4946;161,9183;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
67;A;casuarina;sur;junio;2010;oripodoidea;26;0,950217147;233,1933;163,8063;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
68;A;casuarina;sur;junio;2010;oripodoidea;27;0,393375078;191,6391;109,4897;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
69;A;casuarina;sur;junio;2010;oripodoidea;28;0,748273262;226,1103;143,1249;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
70;A;casuarina;sur;junio;2010;oripodoidea;29;0,627239995;215,1565;133,6401;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
71;A;casuarina;sur;junio;2010;oripodoidea;30;1,0750687;267,478;152,6485;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
72;A;casuarina;sur;junio;2010;oripodoidea;31;0,973064283;240,5214;160,7503;I;acari;oribatida;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
73;A;casuarina;sur;junio;2010;galumnioidea;32;29,81614051;741,6271;543,4569;I;acari;oribatida;hemiedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
74;A;casuarina;sur;junio;2010;galumnioidea;33;25,33739598;682,4185;549,998;I;acari;oribatida;hemiedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
75;A;casuarina;sur;junio;2010;symphypleona;34;1,285168924;451,33;176,1819;I;collembolla;Symphypleona;hemiedaphic;detritivore;panphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
76;A;casuarina;sur;junio;2010;onychiuridae;35;2,646219;840,6035;327,4676;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
77;A;casuarina;sur;junio;2010;onychiuridae;36;0,786351579;540,694;135,8249;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
78;A;casuarina;sur;junio;2010;onychiuridae;37;6,658329775;1175,7491;362,1282;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
79;A;casuarina;sur;junio;2010;onychiuridae;38;3,522846879;932,7807;287,6119;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
80;A;casuarina;sur;junio;2010;onychiuridae;39;0,980589649;585,8866;110,1943;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
81;A;casuarina;sur;junio;2010;onychiuridae;40;3,191816449;899,9028;159,5513;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
82;A;casuarina;sur;junio;2010;onychiuridae;41;0,321346184;390,505;90,04;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
83;A;casuarina;sur;junio;2010;onychiuridae;42;0,556349917;476,7694;90,2399;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
84;A;casuarina;sur;junio;2010;onychiuridae;43;2,16812094;781,8461;182,1372;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
85;A;casuarina;sur;junio;2010;onychiuridae;44;3,381702981;919,0137;178,3207;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
86;A;casuarina;sur;junio;2010;onychiuridae;45;0,303702994;382,5681;84,2515;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
87;A;casuarina;sur;junio;2010;onychiuridae;46;0,393342862;420,294;99,4525;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
88;A;casuarina;sur;junio;2010;onychiuridae;47;3,988020798;975,8124;264,8761;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
89;A;casuarina;sur;junio;2010;onychiuridae;48;1,157874318;622,3844;100,6213;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
90;A;casuarina;sur;junio;2010;onychiuridae;49;7,769922982;1243,6466;270,753;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
91;A;casuarina;sur;junio;2010;onychiuridae;50;2,893699036;868,381;431,7391;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
92;A;casuarina;sur;junio;2010;onychiuridae;51;2,92539095;871,8274;205,0155;I;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;5,00484;6,809836066;0,3328;6,38;1,266606161;0,287969261;6,25;1,51;0,81;2;0,28695;0,07;0,042777778;4,25;7
93;A;casuarina;sur;septiembre;2010;onychiuridae;1;1,586168503;697,8521;153,6198;P;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;4,545405;4,803773585;0,1236;5,86;1,266466664;0,153087189;7,5;1,375;1,1;1,78;0,2833;0,011;0,066;8;12,5
94;A;casuarina;sur;septiembre;2010;onychiuridae;2;0,435117422;436,0068;67,5234;P;collembolla;poduromorpha;euedaphic;microphytophages;microphytophages;4,545405;4,803773585;0,1236;5,86;1,266466664;0,153087189;7,5;1,375;1,1;1,78;0,2833;0,011;0,066;8;12,5
95;A;casuarina;sur;diciembre;2010;isotomidae;1;1,168198729;587,3418;113,9762;V;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;4,986236667;2,5125;0,232;5,93;1,291163731;0,154116253;8,1;1,725;0,94;2,05;0,1954;0,147;0,007371429;4;8,5
96;A;casuarina;sur;diciembre;2010;isotomidae;2;0,774260725;506,5656;84,5722;V;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;4,986236667;2,5125;0,232;5,93;1,291163731;0,154116253;8,1;1,725;0,94;2,05;0,1954;0,147;0,007371429;4;8,5
97;A;casuarina;sur;diciembre;2010;isotomidae;3;0,970825994;549,5142;116,6271;V;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;4,986236667;2,5125;0,232;5,93;1,291163731;0,154116253;8,1;1,725;0,94;2,05;0,1954;0,147;0,007371429;4;8,5
98;A;casuarina;sur;diciembre;2010;isotomidae;4;0,778392359;507,5363;110,5731;V;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;4,986236667;2,5125;0,232;5,93;1,291163731;0,154116253;8,1;1,725;0,94;2,05;0,1954;0,147;0,007371429;4;8,5
99;A;casuarina;sur;diciembre;2010;isotomidae;5;0,623430572;468,5836;78,577;V;collembolla;entomobryomorpha;hemiedaphic;detritivore;macrophytophages;4,986236667;2,5125;0,232;5,93;1,291163731;0,154116253;8,1;1,725;0,94;2,05;0,1954;0,147;0,007371429;4;8,5
